Code,Country,Name,Finances in Retirement Index,Global Retirement Index,Health Index,Material Wellbeing Index,Quality of Life Index
AU,Australia,Australia,0.73,0.78,0.88,0.72,0.79
AT,Austria,Austria,0.62,0.75,0.83,0.72,0.83
BE,Belgium,Belgium,0.59,0.72,0.82,0.71,0.76
BR,Brazil,Brazil,0.58,0.36,0.48,0.09,0.62
CA,Canada,Canada,0.69,0.74,0.85,0.69,0.76
CL,Chile,Chile,0.72,0.55,0.66,0.29,0.63
CN,China,China,0.64,0.48,0.52,0.42,0.38
CO,Colombia,Colombia,0.62,0.37,0.51,0.11,0.57
CY,Cyprus,Cyprus,0.53,0.62,0.74,0.56,0.67
CZ,Czech Republic,Czech Republic,0.63,0.72,0.72,0.82,0.7
DK,Denmark,Denmark,0.6,0.76,0.86,0.72,0.89
EE,Estonia,Estonia,0.67,0.67,0.67,0.63,0.72
FI,Finland,Finland,0.63,0.74,0.84,0.64,0.9
FR,France,France,0.55,0.69,0.88,0.58,0.79
DE,Germany,Germany,0.64,0.76,0.86,0.77,0.8
GR,Greece,Greece,0.49,0.5,0.69,0.29,0.64
HU,Hungary,Hungary,0.55,0.6,0.56,0.7,0.58
IS,Iceland,Iceland,0.68,0.81,0.88,0.83,0.87
KR,Korea,Korea,0.7,0.73,0.8,0.71,0.59
IN,India,India,0.63,0.1,0.04,0.11,0.04
IE,Ireland,Ireland,0.73,0.8,0.88,0.79,0.79
IL,Israel,Israel,0.68,0.72,0.81,0.64,0.76
IT,Italy,Italy,0.52,0.62,0.81,0.49,0.73
JP,Japan,Japan,0.51,0.68,0.91,0.7,0.69
LV,Latvia,Latvia,0.61,0.57,0.53,0.49,0.65
LT,Lithuania,Lithuania,0.65,0.6,0.54,0.51,0.7
LU,Luxembourg,Luxembourg,0.73,0.79,0.89,0.73,0.81
MT,Malta,Malta,0.65,0.69,0.78,0.73,0.61
MX,Mexico,Mexico,0.63,0.39,0.14,0.45,0.6
NL,Netherlands,Netherlands,0.66,0.79,0.87,0.82,0.82
NO,Norway,Norway,0.7,0.83,0.92,0.84,0.87
NZ,New Zealand,New Zealand,0.72,0.77,0.85,0.7,0.82
PL,Poland,Poland,0.58,0.61,0.62,0.64,0.61
PT,Portugal,Portugal,0.58,0.62,0.74,0.51,0.67
RU,Russian Federation,Russian Federation,0.49,0.45,0.31,0.59,0.46
SG,Singapore,Singapore,0.73,0.65,0.82,0.53,0.54
SI,Slovenia,Slovenia,0.61,0.73,0.8,0.83,0.71
ES,Spain,Spain,0.59,0.48,0.81,0.15,0.75
SE,Sweden,Sweden,0.65,0.74,0.88,0.6,0.88
CH,Switzerland,Switzerland,0.75,0.82,0.88,0.79,0.85
TR,Turkey,Turkey,0.47,0.36,0.54,0.28,0.25
GB,United Kingdom,United Kingdom,0.66,0.73,0.82,0.65,0.8
US,United States,United States,0.67,0.71,0.78,0.66,0.72